choosen_door_number,choosen_door_is_grand_prize,last_door_number,last_door_is_grand_prize
99,false,69,true
51,false,99,true
47,false,79,true
69,false,38,true
70,false,36,true
52,false,61,true
55,false,36,true
22,false,38,true
78,false,100,true
50,true,99,false
66,false,77,true
85,false,33,true
81,false,26,true
84,false,49,true
48,false,3,true
52,false,14,true
54,false,93,true
62,false,66,true
22,false,83,true
52,false,35,true
51,false,35,true
65,false,66,true
26,false,54,true
81,false,49,true
41,false,1,true
14,false,84,true
16,false,50,true
54,false,76,true
47,false,37,true
77,false,14,true
12,false,72,true
89,false,38,true
69,false,4,true
51,false,100,true
50,false,92,true
4,false,67,true
29,false,13,true
8,false,99,true
13,false,14,true
93,false,84,true
14,false,98,true
14,false,74,true
56,false,9,true
75,false,91,true
92,false,95,true
66,false,46,true
8,false,59,true
4,false,31,true
17,false,70,true
45,false,100,true
57,false,72,true
22,false,27,true
84,false,35,true
88,false,51,true
59,false,73,true
92,false,59,true
47,false,43,true
82,false,77,true
4,false,23,true
24,false,58,true
72,false,4,true
43,false,16,true
68,false,91,true
48,false,89,true
18,false,69,true
58,false,93,true
36,false,69,true
53,false,52,true
39,false,46,true
49,false,9,true
60,false,57,true
34,false,45,true
87,false,85,true
10,false,74,true
89,false,19,true
90,false,79,true
57,false,59,true
49,false,53,true
28,false,74,true
100,false,81,true
8,false,94,true
67,false,70,true
57,false,96,true
7,false,4,true
72,false,29,true
5,false,3,true
95,false,2,true
21,false,29,true
88,false,79,true
75,false,74,true
62,false,79,true
29,false,15,true
94,false,35,true
82,false,63,true
51,false,92,true
98,false,13,true
46,false,8,true
28,false,94,true
3,false,70,true
61,false,74,true
80,false,11,true
32,false,26,true
57,false,43,true
44,false,32,true
55,false,100,true
41,false,76,true
93,false,49,true
46,false,54,true
86,false,61,true
6,false,18,true
44,false,42,true
33,false,100,true
1,false,13,true
25,false,26,true
5,false,74,true
44,false,3,true
16,false,55,true
25,false,43,true
39,false,95,true
47,false,85,true
100,false,72,true
94,false,32,true
12,false,23,true
88,false,95,true
81,false,72,true
3,false,100,true
85,false,89,true
22,false,93,true
91,false,95,true
60,false,68,true
55,false,77,true
52,false,93,true
53,false,4,true
78,false,55,true
1,false,29,true
6,false,25,true
33,false,42,true
64,false,36,true
27,false,4,true
73,false,15,true
82,false,86,true
38,false,49,true
67,false,89,true
62,false,17,true
43,false,61,true
85,false,56,true
44,false,3,true
39,false,78,true
72,false,31,true
39,false,37,true
73,false,69,true
78,false,85,true
67,false,29,true
7,true,84,false
60,false,100,true
25,false,46,true
33,false,81,true
9,false,21,true
67,false,49,true
84,false,23,true
2,false,39,true
84,false,100,true
42,false,15,true
95,false,5,true
14,false,31,true
3,false,5,true
19,false,12,true
1,false,28,true
5,false,28,true
69,false,95,true
48,false,71,true
63,false,28,true
9,false,80,true
85,false,87,true
92,false,49,true
97,false,48,true
30,false,62,true
85,false,45,true
9,false,3,true
73,false,32,true
71,false,20,true
69,false,5,true
79,false,92,true
33,false,11,true
68,false,69,true
97,false,91,true
35,false,2,true
30,false,62,true
74,false,75,true
78,false,42,true
36,false,50,true
82,false,5,true
59,false,6,true
26,false,2,true
53,false,24,true
30,false,7,true
63,false,7,true
36,false,79,true
77,false,71,true
60,false,3,true
32,false,59,true
27,false,34,true
94,false,11,true
76,false,43,true
21,false,14,true
84,false,75,true
59,false,12,true
63,false,33,true
100,false,50,true
92,false,50,true
6,false,75,true
14,false,49,true
41,false,70,true
64,false,8,true
2,false,32,true
88,false,75,true
22,false,51,true
97,false,80,true
17,false,43,true
100,false,14,true
40,false,58,true
30,false,55,true
41,false,29,true
22,false,13,true
7,false,32,true
73,false,71,true
59,false,19,true
80,false,21,true
88,false,92,true
84,false,54,true
93,false,97,true
82,false,53,true
82,false,91,true
58,false,83,true
9,false,55,true
46,false,12,true
93,false,85,true
82,false,16,true
76,false,36,true
84,false,93,true
58,false,38,true
26,false,48,true
7,false,28,true
19,false,2,true
84,false,91,true
29,false,94,true
36,false,63,true
71,false,6,true
55,false,47,true
52,false,67,true
4,false,68,true
14,false,19,true
64,false,98,true
65,false,24,true
90,false,65,true
96,false,40,true
74,false,55,true
37,false,27,true
94,false,88,true
55,false,61,true
48,false,23,true
99,false,74,true
4,false,49,true
62,false,31,true
14,false,37,true
65,false,40,true
100,false,19,true
51,false,63,true
14,false,33,true
55,false,57,true
13,false,67,true
38,false,7,true
15,false,58,true
19,false,96,true
18,false,64,true
12,false,31,true
33,false,71,true
98,true,72,false
11,false,10,true
16,false,45,true
83,false,66,true
63,false,36,true
17,false,68,true
52,false,79,true
18,false,44,true
18,false,83,true
85,false,27,true
51,false,5,true
9,false,100,true
54,false,77,true
48,false,85,true
53,false,65,true
89,false,20,true
52,false,59,true
40,false,17,true
17,false,27,true
1,false,40,true
14,false,82,true
57,false,98,true
91,false,56,true
2,false,38,true
58,false,23,true
17,false,22,true
5,false,50,true
16,false,23,true
86,false,45,true
93,false,29,true
9,false,33,true
72,false,23,true
62,false,93,true
18,false,28,true
73,false,86,true
98,false,18,true
32,false,80,true
50,false,19,true
81,false,44,true
61,false,79,true
3,false,21,true
21,false,92,true
6,false,33,true
71,false,61,true
2,false,71,true
90,false,76,true
50,false,46,true
22,false,43,true
29,false,15,true
52,false,44,true
45,false,68,true
73,true,86,false
39,false,83,true
40,false,88,true
37,false,9,true
35,false,43,true
22,false,28,true
11,false,35,true
69,false,75,true
64,false,1,true
56,false,92,true
50,false,87,true
46,false,96,true
34,false,13,true
27,false,34,true
84,false,79,true
1,false,53,true
22,false,33,true
26,false,2,true
